date,sold_or_return,product_id,product,unit_price,no_of_units,sales_price,category
8/19/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,60,-39000,RICE
9/22/2023,Return,9301,Return-  CHICKEN NOODLES,-500,50,-25000,NOODLES
7/22/2023,Return,4101,Return-  ICED COFFEE,-150,60,-9000,BEVERAGE
5/20/2023,Return,5315,Return-  Rice & Curry( Fish ),-520,15,-7800,RICE & CURRY
5/20/2023,Return,5314,Return-  Rice & Curry(chicken),-500,13,-6500,RICE & CURRY
4/2/2023,Return,6403,Return-  CHOCOLATE CUP CAKE,-250,20,-5000,DESSERT
12/13/2023,Return,5337,Return-  Chicken Budget Rice (R),-500,10,-5000,RICE
4/1/2023,Return,6604,Return-  COFFEE CAKE,-150,25,-3750,DESSERT
6/2/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,5,-3250,RICE
12/14/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,4,-2800,RICE
7/9/2023,Return,5307,Return-  Boiled Vegetables With Fried Chiken,-500,5,-2500,SALAD
8/24/2023,Return,5201,Return-  VANILLA MILK SHAKE,-180,12,-2160,BEVERAGE
9/21/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,3,-2100,RICE
9/18/2023,Return,5307,Return-  Boiled Vegetables With Fried Chiken,-500,4,-2000,SALAD
8/15/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,3,-1950,RICE
5/11/2023,Return,1109,Return-  Egg mixed fried rice with an omlet,-550,3,-1650,RICE
5/18/2023,Return,1109,Return-  Egg mixed fried rice with an omlet,-550,3,-1650,RICE
9/7/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,2,-1400,RICE
5/11/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,2,-1300,RICE
7/21/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,2,-1300,RICE
7/27/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,2,-1300,RICE
8/21/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,2,-1300,RICE
8/26/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,2,-1300,RICE
8/31/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,2,-1300,RICE
2/27/2023,Return,6021,Return-  CHEESE CHICKEN BURGER,-250,5,-1250,SHORT EATS
7/8/2023,Return,1107,Return-  VEGETABLE FRIED RICE (R),-300,4,-1200,RICE
7/4/2023,Return,1109,Return-  Egg mixed fried rice with an omlet,-550,2,-1100,RICE
7/16/2023,Return,5314,Return-  Rice & Curry(chicken),-550,2,-1100,RICE & CURRY
9/23/2023,Return,5337,Return-  Chicken Budget Rice (R),-500,2,-1000,RICE
10/9/2023,Return,9301,Return-  CHICKEN NOODLES,-500,2,-1000,NOODLES
10/14/2023,Return,5337,Return-  Chicken Budget Rice (R),-500,2,-1000,RICE
10/22/2023,Return,5337,Return-  Chicken Budget Rice (R),-500,2,-1000,RICE
12/7/2023,Return,8105,Return-  Egg Koththu,-500,2,-1000,Koththu
12/16/2023,Return,8105,Return-  Egg Koththu,-500,2,-1000,Koththu
7/19/2023,Return,9302,Return-  VEGETABLE NOODLES,-300,3,-900,NOODLES
5/26/2023,Return,9201,Return-  EGG NOODLES,-400,2,-800,NOODLES
7/9/2023,Return,8102,Return-  BOILED VEGETABLE,-400,2,-800,SALAD
9/21/2023,Return,9201,Return-  EGG NOODLES,-400,2,-800,NOODLES
1/31/2023,Return,6021,Return-  CHEESE CHICKEN BURGER,-250,3,-750,SHORT EATS
5/11/2023,Return,2110,Return-  CHICKEN SOUP,-150,5,-750,SOUP
7/7/2023,Return,6021,Return-  CHEESE CHICKEN BURGER,-250,3,-750,SHORT EATS
8/16/2023,Return,6021,Return-  CHEESE CHICKEN BURGER,-250,3,-750,SHORT EATS
11/11/2023,Return,4520,Return-  CHOCO MILK SHAKE,-250,3,-750,BEVERAGE
8/25/2023,Return,5331,Return-  Ice cream chocolate,-180,4,-720,DESSERT
6/18/2023,Return,6219,Return-  CRISPY CHICKEN BUN,-350,2,-700,SHORT EATS
9/2/2023,Return,6219,Return-  CRISPY CHICKEN BUN,-350,2,-700,SHORT EATS
9/5/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,1,-700,RICE
9/5/2023,Return,1107,Return-  VEGETABLE FRIED RICE (R),-350,2,-700,RICE
9/17/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,1,-700,RICE
9/18/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,1,-700,RICE
9/21/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,1,-700,RICE
9/29/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,1,-700,RICE
10/6/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE (R),-700,1,-700,RICE
3/31/2023,Return,1108,Return-  Egg mixed chicken fried rice,-650,1,-650,RICE
4/6/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
4/20/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
5/18/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
5/18/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
6/5/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
6/6/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
6/30/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
7/4/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
7/21/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
7/30/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
8/11/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
8/29/2023,Return,1108,Return-  EGG MIXED CHICKEN FRIED RICE,-650,1,-650,RICE
9/21/2023,Return,8106,Return-  Chicken Koththu,-650,1,-650,Koththu
9/21/2023,Return,8106,Return-  Chicken Koththu,-650,1,-650,Koththu
