good,dirty,wait,lastyear,usa
1,0,5.49,2,1
1,0,0.66,1,1
0,0,1.16,1,1
1,0,1.41,1,1
1,0,0.91,4,1
0,1,4.96,2,1
1,0,5.42,2,1
1,0,4.77,2,1
1,0,1.41,1,1
1,0,3.02,2,1
0,0,5.42,4,1
1,0,1.16,13,1
1,0,1.41,1,1
0,1,5.42,2,1
0,0,1.74,1,1
1,0,1.41,2,1
1,0,4.96,1,1
0,0,0.66,2,1
1,0,5.14,2,1
0,0,5.42,1,1
1,0,2.96,9,1
1,0,1.07,2,1
1,0,1.07,1,1
1,0,0.82,4,1
1,0,1.32,1,1
1,0,1.41,1,1
0,0,1.59,1,1
0,0,1.07,1,1
1,0,5.59,3,1
1,0,5.59,2,1
0,0,5.59,3,1
1,0,5.26,4,1
0,0,3.27,2,1
1,0,1.66,1,1
0,0,4.77,2,1
1,0,1.66,1,1
1,0,2.07,4,1
1,0,1.16,1,1
1,0,0.66,8,1
0,0,1.66,1,1
1,0,1.16,2,1
1,0,1.16,8,1
0,0,5.54,7,1
0,0,1.16,1,1
0,0,0.66,2,1
1,0,0.91,1,1
0,0,3.42,1,1
1,0,5.42,1,1
0,0,0.66,1,1
0,0,5.14,1,1
1,0,5.14,6,1
1,0,2.51,3,1
1,0,5.42,3,1
1,0,2.47,3,0
1,0,1.12,1,0
0,0,5.64,1,0
0,0,5.31,1,0
1,0,5.07,1,0
0,0,1.12,1,0
0,0,0.96,1,0
0,0,1.46,2,0
1,0,5.67,1,0
1,0,1.37,2,1
0,0,5.07,2,1
0,0,1.86,2,1
0,0,1.37,2,1
0,0,1.29,7,1
0,0,1.29,4,1
0,0,2.64,1,1
1,0,5.39,1,1
0,0,0.71,3,1
1,0,1.41,2,0
1,0,1.41,2,0
0,0,1.89,2,0
1,0,1.89,1,0
1,0,2.71,1,0
0,0,1.16,3,0
1,0,5.42,4,0
1,0,5.59,1,0
1,0,2.89,0,0
0,0,2.71,1,0
0,0,1.41,7,0
0,0,2.29,1,0
0,0,1.16,2,0
1,0,1.89,1,0
1,0,1.07,1,0
1,0,5.29,2,0
1,0,2.71,1,0
1,0,0.66,22,0
0,0,5.42,4,0
0,0,1.41,1,0
0,0,0.91,2,0
0,4,1.41,1,0
1,0,1.41,2,0
1,0,1.07,3,0
0,0,1.99,1,0
1,0,1.81,1,0
0,0,1.99,1,0
1,1,2.44,2,0
0,0,1.59,1,0
1,0,2.81,5,0
1,0,0.91,4,0
0,0,0.91,4,0
0,0,1.07,1,0
0,0,0.99,1,0
1,0,2.44,1,0
1,0,1.59,1,0
1,0,2.81,1,0
0,0,0.82,12,0
0,0,1.59,6,0
1,1,1.92,1,0
0,0,1.07,4,0
1,0,5.67,1,0
1,0,5.67,1,0
1,0,5.67,3,0
1,0,5.67,1,0
1,0,5.67,0,0
1,0,1.89,1,0
0,0,1.81,5,0
1,0,0.82,1,0
1,0,3.24,1,0
0,0,3.24,1,0
0,0,1.81,2,0
1,0,2.22,1,0
1,0,3.24,1,0
1,0,2.96,3,0
1,0,0.99,4,0
1,0,2.51,2,0
1,0,2.96,1,0
1,0,0.99,3,0
0,0,3.49,4,0
1,0,3.44,1,0
0,2,5.67,1,0
1,0,5.67,1,0
