"id","category","date","sold_or_return","product_id","product_name","unit_price","no_of_units","sales_price"
"3034","BEVERAGE","12/9/2023","Sold","4106","MILK TEA","150","2","300"
"3035","BEVERAGE","12/2/2023","Sold","4520","CHOCO MILK SHAKE","250","1","250"
"3036","BEVERAGE","12/2/2023","Sold","4520","CHOCO MILK SHAKE","250","2","500"
"3037","BEVERAGE","12/2/2023","Sold","4101","ICED COFFEE","150","1","150"
"3038","BEVERAGE","12/2/2023","Sold","4101","ICED COFFEE","150","1","150"
"3039","BEVERAGE","12/2/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","1","50"
"3040","BEVERAGE","12/2/2023","Sold","4520","CHOCO MILK SHAKE","250","1","250"
"3041","BEVERAGE","12/2/2023","Sold","4520","CHOCO MILK SHAKE","250","1","250"
"3042","BEVERAGE","12/2/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","2","100"
"3043","BEVERAGE","12/2/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","1","50"
"3044","BEVERAGE","12/2/2023","Sold","4103","TEA","60","1","60"
"3045","BEVERAGE","12/2/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","2","100"
"3046","BEVERAGE","12/2/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","1","50"
"3047","BEVERAGE","12/2/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","2","100"
"3048","BEVERAGE","12/2/2023","Sold","4520","CHOCO MILK SHAKE","250","1","250"
"3049","BEVERAGE","12/2/2023","Sold","4520","CHOCO MILK SHAKE","250","1","250"
"3050","BEVERAGE","12/2/2023","Sold","4101","ICED COFFEE","150","1","150"
"3051","BEVERAGE","12/2/2023","Sold","4520","CHOCO MILK SHAKE","250","1","250"
"3052","BEVERAGE","12/2/2023","Sold","4106","MILK TEA","150","1","150"
"3053","BEVERAGE","12/2/2023","Sold","4101","ICED COFFEE","150","1","150"
"3054","BEVERAGE","12/2/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","4","200"
"3055","BEVERAGE","12/2/2023","Sold","4106","MILK TEA","150","1","150"
"3056","BEVERAGE","12/2/2023","Sold","4101","ICED COFFEE","150","2","300"
"3057","BEVERAGE","12/2/2023","Sold","4105","STRAWBERRY MILK SHAKE","250","1","250"
"3058","BEVERAGE","12/3/2023","Sold","4107","HOT COFFEE","60","5","300"
"3059","BEVERAGE","12/3/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","1","50"
"3060","BEVERAGE","12/3/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","2","100"
"3061","BEVERAGE","12/3/2023","Sold","4106","MILK TEA","150","1","150"
"3062","BEVERAGE","12/3/2023","Sold","4105","STRAWBERRY MILK SHAKE","250","2","500"
"3063","BEVERAGE","12/3/2023","Sold","4520","CHOCO MILK SHAKE","250","2","500"
"3064","BEVERAGE","12/3/2023","Sold","4108","HOT MILK COFFEE","150","1","150"
"3065","BEVERAGE","12/3/2023","Sold","4101","ICED COFFEE","150","1","150"
"3066","BEVERAGE","12/3/2023","Sold","4101","ICED COFFEE","150","1","150"
"3067","BEVERAGE","12/3/2023","Sold","4103","TEA","60","2","120"
"3068","BEVERAGE","12/3/2023","Sold","4101","ICED COFFEE","150","2","300"
"3069","BEVERAGE","12/3/2023","Sold","5201","VANILLA MILK SHAKE","200","1","200"
"3070","BEVERAGE","12/3/2023","Sold","4105","STRAWBERRY MILK SHAKE","250","1","250"
"3071","BEVERAGE","12/3/2023","Sold","4102","SUNQUICK ORANGE JUICE","50","2","100"
