soil_code,zone,total_sand,total_silt,total_clay,bulk_density,moisture_retention_0.1bar,moisture_retention_0.33bar,moisture_retention_15bar,organic_carbon,textural_class
KG 01,wetzone,71.1,10,17.6,1.23,42,40,25,1.15,sandy loam
KG 01,wetzone,63.3,14.1,20.8,1.38,27,26,17,0.54,sandy clay loam
KG 01,wetzone,67.6,18.3,13.6,1.26,35,32,19,0.17,sandy loam
KG 01,wetzone,73.8,16.7,9.1,1.34,32,31,16,0.11,sandy loam
GM 02,wetzone,93.8,0.9,5.3,1.5,13,11,7,0.51,sand
GM 02,wetzone,91.5,2.2,6.3,1.5,15,13,9,0.35,sand
GM 02,wetzone,88.9,1.1,10,1.4,15,14,10,0.27,loamy sand
GM 02,wetzone,84.6,4.4,11,1.5,19,15,11,0.2,loamy sand
GM 02,wetzone,85.8,0.4,13.8,1.5,11.2,8.7,6.8,0.12,loamy sand
GM 02,wetzone,84,2,14,1.5,10.5,7.5,6.8,0.09,sandy loam
GM 04,wetzone,65.1,7,27.9,1.38,24.5,16.9,14.6,1.37,sandy clay loam
GM 04,wetzone,47.5,7.9,44.6,1.64,26.9,21.9,17.3,1.06,sandy clay
GM 04,wetzone,43.2,5.8,51,1.72,33.6,27.6,22.6,0.62,clay
KG 03,wetzone,64.9,6.2,29,1.2,25.4,18.9,15.2,2.26,sandy clay loam
KG 03,wetzone,73.9,3.7,21.9,1.6,21,15.6,13.2,1.18,sandy clay loam
KG 03,wetzone,59.9,11.6,28.1,1.7,25.8,17.8,13.7,0.28,sandy clay loam
KG 03,wetzone,63.9,9.5,25.9,1.8,25.1,19,13.7,0.2,sandy clay loam
KN 02,wetzone,50.8,8,41.2,1.4,35,29,22,0.46,sandy clay
KN 02,wetzone,57,8.6,34.4,1.7,25,19,15,0.33,sandy clay loam
KN 02,wetzone,57.5,8.1,34.4,1.3,31,25,20,0.07,sandy clay loam
KG 04,wetzone,68.5,6.9,24.6,1.4,36,32,23,1.9,sandy clay loam
KG 04,wetzone,59.2,7.8,33,1.5,33,30,23,1.1,sandy clay loam
KG 04,wetzone,51.2,8.9,39.9,1.3,37,34,27,0.7,sandy clay
KG 04,wetzone,43.1,16.6,40.3,1.2,39,37,32,0.4,clay
KN 03,wetzone,48.3,14.2,37.5,1.3,48.2,37.7,27.7,1.38,sandy clay
KN 03,wetzone,34.7,28.6,36.7,1.3,51.7,39.7,31.5,1.05,clay loam
KN 03,wetzone,30.8,25.9,43.3,1.3,50.3,39,29.7,0.91,clay
GM 01,wetzone,25.5,34,40.5,1.1,44.3,35.3,29.7,1.3,clay
GM 01,wetzone,26.8,28.9,44.3,1.1,41.8,33.4,28.3,0.9,clay
GM 01,wetzone,29.1,26.4,44.5,1.3,35.6,29.4,24.2,0.6,clay
GM 01,wetzone,21.9,31.4,46.7,1.3,36.3,31.5,25.2,0.4,clay
GM 01,wetzone,25.7,27.2,47.1,1.3,37.8,32.5,27.7,0.3,clay
GM 03,wetzone,90.8,3.3,5.9,1.5,5.7,4.2,3.1,0.33,sand
GM 03,wetzone,89.1,4.2,6.7,1.3,6.5,5,4,0.3,sand
GM 03,wetzone,87.5,4.4,8.1,1.5,8.1,6.1,4.5,0.25,loamy sand
GM 03,wetzone,87.3,1.9,10.8,1.3,7.9,5.9,4.5,0.16,loamy sand
GM 05,wetzone,61.7,12.8,25.3,1.07,36.3,28.8,21.6,2.26,sandy clay loam
GM 05,wetzone,69.8,9.9,19.4,1.47,19.5,16.7,12.1,1.45,sandy loam
GM 05,wetzone,43.5,12.5,43.7,1.36,33.1,25.4,21.2,0.59,clay
GM 05,wetzone,82.3,3.1,14.2,1.78,11.4,6.7,4.8,0.11,sandy loam
GM 05,wetzone,82,1.3,16.8,1.83,14.7,9.6,7,0.15,sandy loam
KG 02,wetzone,82,4.7,12.3,1.3,16.2,10.9,8.9,1.82,sandy loam
KG 02,wetzone,72.2,8.6,18,1.4,14.3,10.7,8.7,0.87,sandy loam
KL 04,wetzone,11.1,44.8,44.1,0.56,79.3,69.8,66.2,12.1,silty clay
KL 04,wetzone,2.5,64.5,33,0.47,76.2,64.8,52.6,18.5,silty clay loam
KL 04,wetzone,4.6,48.4,47,0.47,62.1,59.1,52.9,12,silty clay
KL 04,wetzone,4,53.1,42.9,0.33,63,60.1,55,17.5,silty clay
KL 05,wetzone,73.5,16.6,9.9,1.34,22.3,19,13.6,2.86,sandy loam
KL 05,wetzone,67.8,7.7,24.5,1.37,19.7,16.5,13.5,0.72,sandy clay loam
KL 05,wetzone,59.9,13.1,27.1,1.33,27,22.5,17.5,0.17,sandy clay loam
KN 01,wetzone,36.6,27.6,35.5,1.3,53.8,36.9,28.7,1.78,clay loam
KN 01,wetzone,44.9,21,34.2,1.6,38.8,30.1,23.2,0.85,clay loam
KN 01,wetzone,48.5,19.6,32,1.6,38.6,28.9,22,0.59,sandy clay loam
KN 01,wetzone,42.1,25,31.7,1.5,39.5,29,21.8,0.48,clay loam
KN 01,wetzone,45.4,23.8,30.7,1.6,40.7,29.2,22.5,0.32,clay loam
KN 01,wetzone,42.4,38.3,17.8,1.5,43,33,25.2,0.32,loam
KN 01,wetzone,69.2,2.4,29,1.4,32.3,22,15.7,0.17,sandy clay loam
NE 01,wetzone,36.2,25.5,38.3,0.85,35.2,27.9,23.6,3.52,clay loam
NE 01,wetzone,45.3,49.5,5.2,0.95,29.4,25.8,21.4,1.96,silt loam
NE 01,wetzone,43.1,45.4,11.5,1.11,27.9,24.5,21.5,1.5,loam
NE 01,wetzone,46.6,44.8,8.6,1.48,28.8,25.3,22.3,1,loam
NE 01,wetzone,44.5,42.3,13.3,1.31,29.7,26.9,23.1,0.53,loam
NE 02,wetzone,44.3,27.6,28.1,0.69,53.4,48.6,35.7,9.9,clay loam
NPJF 01,jaffna,58.3,23.6,18.1,1.18,15.82,13.66,9.11,0.44,sandy loam
NPJF 01,jaffna,57.3,23.3,19.4,1.06,16.63,13.95,9.72,0.25,sandy loam
NPJF 01,jaffna,54.7,25.5,19.8,1.16,20.39,18.62,12.71,0.16,sandy loam
NPJF 01,jaffna,52.3,27.6,20.1,1.23,22.59,20.28,14.49,0.07,loam
NPJF 02,jaffna,74.5,13.6,11.9,1.39,14.99,14.14,8.19,1.18,sandy loam
NPJF 02,jaffna,69.6,9.9,20.5,1.38,14.12,13.29,7.56,0.61,sandy clay loam
NPJF 02,jaffna,59.1,14.3,26.6,1.24,12.67,11.75,7.96,0.51,sandy clay loam
NPJF 02,jaffna,54.9,15.6,29.5,1.17,12.47,11.83,8.12,0.5,sandy clay loam
NPJF 03,jaffna,60.3,17.6,22.1,1.27,12.9,11.9,8.4,1.56,sandy clay loam
NPJF 03,jaffna,50.1,16.3,33.6,1.28,12.7,11.7,9,0.23,sandy clay loam
NPJF 03,jaffna,51.9,16.7,31.4,1.28,13.2,12,9.5,0.18,sandy clay loam
NPJF 03,jaffna,49.8,14.2,36,1.37,13.5,11.9,9.5,0.09,sandy clay
NPJF 04,jaffna,86.7,3.1,10.2,1.33,13.15,7.51,5.91,0.3,loamy sand
NPJF 04,jaffna,81.3,2.2,16.5,1.34,22.21,18.23,12.87,0.3,sandy loam
NPJF 04,jaffna,72.9,2.7,24.3,1.37,21.95,17.45,12.12,0.21,sandy clay loam
NPJF 04,jaffna,67.3,4.2,28.5,1.37,23.2,20.13,14.54,0.19,sandy clay loam
NPJF 06,jaffna,81.1,5.5,13.4,1.69,10.1,8.35,3.81,0.69,sandy loam
NPJF 06,jaffna,71.2,4.6,24.3,1.57,10.71,8.51,3.21,0.22,sandy clay loam
NPJF 06,jaffna,68.2,4.5,27.3,1.49,11.25,8.45,3.67,0.13,sandy clay loam
NPJF 07,jaffna,61.9,12.7,25.4,1.69,16.52,13.81,8.51,0.83,sandy clay loam
NPJF 07,jaffna,57.6,12.7,29.7,1.7,16.63,14.45,8.12,0.4,sandy clay loam
NPJF 08,jaffna,76.4,11.3,12.3,1.46,27.51,24.51,19.25,0.85,sandy loam
NPJF 08,jaffna,82.4,6.2,11.3,1.51,30.35,23.72,15.41,0.35,loamy sand
NPJF 08,jaffna,84.2,6,9.9,1.5,45.61,40.25,34.81,0.28,loamy sand
NPJF 10,jaffna,74.1,6.4,19.5,1.5,14.65,9.53,6.65,0.64,sandy loam
NPJF 10,jaffna,72.6,7.3,20.1,1.6,16.12,11.34,8.34,0.45,sandy clay loam
NPJF 10,jaffna,65.1,5.6,29.3,1.5,19.23,13.72,10.31,0.36,sandy clay loam
IZPU 02,intermediate,91,5.6,3.4,1.7,10,6,3,0.82,sand
IZPU 02,intermediate,92.9,2,5.1,1.7,11,9,5,0.59,sand
IZPU 04,intermediate,84.1,12.3,3.6,1.7,11,7,3,0.94,loamy sand
IZPU 04,intermediate,75.3,16.2,8.5,1.6,11,10,4,1.68,sandy loam
IZPU 01,intermediate,96.2,2.7,1.1,1.6,8,5,2,0.74,sand
IZPU 01,intermediate,90.9,4,5.1,1.6,8,6,2,0.66,sand
lZPU. 03,intermediate,79.7,10.9,9.4,1.8,19.9,18.1,13.5,1.2,sandy loam
lZPU. 03,intermediate,76.7,9.2,14.1,1.6,19.6,18.6,12.7,1.1,sandy loam
lZPU. 03,intermediate,68.4,9.6,22,1.8,22.2,21.9,19.2,1,sandy clay loam
lZPU. 05,intermediate,86.2,4.7,9.1,1.7,13.6,12.2,8.4,2.01,loamy sand
lZPU. 05,intermediate,79.7,9,11.3,1.7,13.8,12.8,10.6,1.09,sandy loam
lZPU. 05,intermediate,75.1,12,12.9,1.7,19.3,18.9,13.3,0.62,sandy loam
lZPU. 05,intermediate,77.7,10,12.3,2,15,14.8,14.4,0.86,sandy loam
lZKU. 05,intermediate,75.4,9.4,15.2,1.5,35.5,34.2,30.7,1.4,sandy loam
lZKU. 05,intermediate,63.5,12.7,23.8,1.6,15,12.9,11.3,0.6,sandy clay loam
lZKU. 05,intermediate,63.5,6.2,30.3,1.7,16.6,14.9,13.7,0.4,sandy clay loam
lZKU. 05,intermediate,53.7,9.2,37.1,1.7,19,17.5,16.2,0.3,sandy clay
lZKU. 04,intermediate,65.8,18.5,15.7,1.63,27.6,23.2,15.3,1.3,sandy loam
lZKU. 04,intermediate,56.1,10.3,33.6,1.65,18.6,16.6,12.4,1.2,sandy clay loam
lZKU. 04,intermediate,52.1,11.3,36.6,1.43,24.3,22.8,18.1,0.6,sandy clay
lZKU. 04,intermediate,47,20.6,32.4,1.62,30.8,28.8,16.9,0,sandy clay loam
lZKU. 02,intermediate,84.3,8.1,7.6,1.68,26.6,19.7,13.6,0.6,loamy sand
